,molecule_chembl_id,smiles,ic50,tox_free,bbb,qed,sa,lip,carc
118,CHEMBL600243,CCCCCCS(=O)(=O)OC[C@H]1OC(O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H]1OP(=O)(O)O,4160.0,False,False,0.10942562497417524,4.393310175088861,1,True
119,CHEMBL4161092,CCCCCCCCCC(OP(=O)(O)O)OP(=O)(O)O,300.0,False,False,0.24306985139328197,2.874128277249202,0,True
120,CHEMBL600442,CCCCCCCCS(=O)(=O)OC[C@H]1OC(O)[C@H](OP(=O)(O)O)[C@@H](O)[C@@H]1OP(=O)(O)O,2340.0,False,False,0.0992218289312804,4.359825885184253,2,True
121,CHEMBL4472122,COc1ccc(C(=O)NO)cc1OCc1noc(-c2cccc(Cl)c2)n1,9220.0,False,False,0.5031943765299185,2.1934920674262397,0,True
122,CHEMBL4580368,COc1ccc(C(=O)NO)cc1OCc1noc(-c2ccccc2F)n1,21600.0,False,False,0.5144456722455806,2.1996704458046157,0,True
123,CHEMBL4527059,COc1ccc(C(=O)NO)cc1OCc1noc(-c2ccccc2)n1,36450.0,False,False,0.5236360083872211,2.0795954669458734,0,True
124,CHEMBL4527311,COc1ccc(-c2nc(COc3cc(C(=O)NO)ccc3OC)no2)cc1OC,13780.0,False,True,0.4323094583223885,2.226387810827042,0,True
125,CHEMBL4549543,COc1ccc(C(=O)NO)cc1OCc1noc(-c2ccc(Cl)cc2)n1,21610.0,False,False,0.5031943765299185,2.145185830420001,0,True
126,CHEMBL4553570,CCCCCCCC(N)(P(=O)(O)O)P(=O)(O)O,20.0,False,False,0.3348204274472676,3.046385723164348,0,True
127,CHEMBL254832,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,5600.0,True,False,0.6016825276163219,2.174070002753364,1,True
128,CHEMBL4451474,COc1c(O)cc2oc3cc(O)c(C/C=C(\C)CO)c(O)c3c(=O)c2c1C/C=C(\C)CCC=C(C)C,10900.0,False,True,0.21951041435759022,3.436005618097524,1,True
129,CHEMBL5276301,CCCCCCn1cc(C(N)(CO)CO)nn1,1860.0,False,False,0.5573224717151378,2.904166745506677,0,True
130,CHEMBL5271590,CCCCCCCn1cc(C(N)(CO)CO)nn1,1820.0,False,False,0.5551744851219449,2.8571409644534533,0,True
131,CHEMBL5273927,CCCCCCCCn1cc(C(N)(CO)CO)nn1,1750.0,False,False,0.5457739601821461,2.818885518270525,0,True
132,CHEMBL5273649,CCCCCCCCCn1cc(C(N)(CO)CO)nn1,1140.0,False,False,0.5298999139801915,2.78803337780902,0,True
133,CHEMBL5416755,O=C(NO)c1nc(COc2ccc(-c3ccccc3)cc2)no1,830.0,False,False,0.5545866278344677,2.1279519428934677,0,True
134,CHEMBL5409988,O=C(NO)c1nc(COc2ccc(-c3ccc(Cl)cc3)cc2)no1,470.0,False,False,0.5444606636670876,2.1924749444582456,0,True
135,CHEMBL5439648,O=C(NO)c1noc(COc2ccc(-c3ccccc3)cc2)n1,4910.0,False,False,0.5545866278344677,2.144976512353857,0,True
136,CHEMBL5396441,O=C(Cc1noc(COc2ccc(-c3ccccc3)cc2)n1)NO,50000.0,False,False,0.5332245748350328,2.1035233534405684,0,True
137,CHEMBL5434322,O=C(NO)c1noc(COc2ccc(-c3ccc(Cl)cc3)cc2)n1,300.0,False,False,0.5444606636670876,2.2090060481371747,0,True
138,CHEMBL5430160,O=C(Cc1noc(COc2ccc(-c3ccc(Cl)cc3)cc2)n1)NO,18730.0,False,False,0.5183457355807793,2.1683493130997196,0,True
139,CHEMBL5398396,O=C(Cc1noc(-c2ccc(Br)cc2)n1)NO,50000.0,False,False,0.6626994500294686,2.2621992741482497,0,True
